6889/004 - 30db
"N:\Web\site\cquiz\blocks2\6913\","003.mp3",#2014-03-17 15:31:02#,17868,.661,"?","?"
"N:\Web\site\cquiz\blocks2\6767\","002.mp3",#2014-03-17 15:07:18#,9509,1.656,"?","?"
"N:\Web\site\cquiz\blocks2\6773\","006.mp3",#2014-03-17 15:14:31#,30407,1.669,"?","?"
"N:\Web\site\cquiz\blocks2\6770\","004.mp3",#2014-03-17 15:32:42#,15779,1.676,"?","?"
"N:\Web\site\cquiz\blocks2\7520\","003.mp3",#2014-03-17 15:33:44#,2404,1.68,"?","?"
"N:\Web\site\cquiz\blocks2\8181\","004.mp3",#2014-03-17 14:54:15#,31044,2.021,"?","?"
"N:\Web\site\cquiz\blocks2\6891\","003.mp3",#2014-03-17 14:55:25#,7419,2.168,"?","?"
"N:\Web\site\cquiz\blocks2\7979\","004.mp3",#2014-03-17 14:56:58#,17869,2.359,"?","?"
"N:\Web\site\cquiz\blocks2\6796\","005.mp3",#2014-03-17 15:01:21#,50705,2.265,"?","?"
"N:\Web\site\cquiz\blocks2\6911\","003.mp3",#2014-03-17 15:07:39#,40856,2.157,"?","?"
"N:\Web\site\cquiz\blocks2\7592\","004.mp3",#2014-03-17 15:13:27#,17869,2.207,"?","?"
"N:\Web\site\cquiz\blocks2\6778\","006.mp3",#2014-03-17 15:19:06#,20194,2.257,"?","?"
"N:\Web\site\cquiz\blocks2\7533\","003.mp3",#2014-03-17 15:29:15#,22884,2.065,"?","?"
"N:\Web\site\cquiz\blocks2\7800\","003.mp3",#2014-03-17 14:58:12#,3658,2.777,"?","?"
"N:\Web\site\cquiz\blocks2\7272\","008.mp3",#2014-03-17 15:05:28#,12853,2.712,"?","?"
"N:\Web\site\cquiz\blocks2\6923\","004.mp3",#2014-03-17 15:18:16#,15779,2.698,"?","?"
"N:\Web\site\cquiz\blocks2\6993\","005.mp3",#2014-03-17 14:56:37#,70949,3.338,"?","?"
"N:\Web\site\cquiz\blocks2\6981\","003.mp3",#2014-03-17 15:02:05#,71785,3.186,"?","?"
"N:\Web\site\cquiz\blocks2\7681\","002.mp3",#2014-03-17 15:09:27#,2822,3.352,"?","?"
"N:\Web\site\cquiz\blocks2\6988\","002.mp3",#2014-03-17 15:16:11#,76800,3.252,"?","?"
"N:\Web\site\cquiz\blocks2\8308\","006.mp3",#2014-03-17 15:20:22#,35004,2.997,"?","?"
"N:\Web\site\cquiz\blocks2\7441\","003.mp3",#2014-03-17 15:23:24#,30407,3.221,"?","?"
"N:\Web\site\cquiz\blocks2\6979\","003.mp3",#2014-03-17 14:54:14#,98534,3.44,"?","?"
"N:\Web\site\cquiz\blocks2\7689\","002.mp3",#2014-03-17 14:57:41#,16196,3.742,"?","?"
"N:\Web\site\cquiz\blocks2\7544\","003.mp3",#2014-03-17 14:58:50#,29989,3.897,"?","?"
"N:\Web\site\cquiz\blocks2\6793\","003.mp3",#2014-03-17 15:00:06#,140566,3.799,"?","?"
"N:\Web\site\cquiz\blocks2\7715\","005.mp3",#2014-03-17 15:26:18#,13688,3.658,"?","?"
